X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid
-73.596673581757372,4.194141804594669,6,6510,0,0,PUENTE AMARILLO,CONCESION ANI,META,4.1941418,-73.59667358,3400,11600,16500,22100,25100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cumaral - Barranca de Upía,11600,7400,2
-75.688606560793886,6.326315113477863,130, ,0,0,PALMITAS,CONCESION ANI,ANTIOQUIA,6.32631511,-75.68860656,15100,48300,57800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puente Aurrá - Medellín,17000,37200,2
-75.671344536090871,6.338603341434019,132, ,0,0,EBÉJICO,DEPARTAMENTO,ANTIOQUIA,6.33860334,-75.67134454,7700,23700,26700,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puente Aurrá - Medellín (Vía Antigua al Mar),9200,19300,3
-75.050027548318781,4.300471591906599,15,4404,0,0,GUALANDAY,CONCESION ANI,TOLIMA,4.30047159,-75.05002755,9100,34600,38100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Ibague (Puente Blanco) - Cruce Ruta 45 (Espinal),10800,25800,2
-74.271925982431682,4.537573704857818,19,4005,0,0,CHUSACÁ,CONCESION ANI,CUNDINAMARCA,4.5375737,-74.27192598,9600,37600,43100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Girardot - Silvania - Bogotá (Bosa),10800,23100,2
-74.500114681634159,4.269464999383415,25,4005,0,0,CHINAUTA,CONCESION ANI,CUNDINAMARCA,4.269465,-74.50011468,9600,37600,43100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Girardot - Silvania - Bogotá (Bosa),10800,23100,2
-75.899910182759612,4.407993619260798,160,4002,0,0,COROZAL,CONCESION ANI,VALLE DEL CAUCA,4.40799362,-75.89991018,9700,11700,28600,35000,41500,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Paila - Club Campestre,11700,11700,2
-74.336664331921469,10.977188152128644,1,9007,0,0,TASAJERA,DEPARTAMENTO,MAGDALENA,10.97718815,-74.33666433,10700,20500,29700,39400,44500,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Barranquilla - Santa Marta,12600,16500,3
-73.448174289475318,4.26106405803376,2,6510,0,0,VERACRUZ,CONCESION ANI,META,4.26106406,-73.44817429,6300,12600,18100,24200,27100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cumaral - Barranca de Upía,12600,8100,2
-74.729718979299051,10.978719173668772,3,9007,0,0,LAUREANO GÓMEZ,DEPARTAMENTO,MAGDALENA,10.97871917,-74.72971898,10700,20500,29700,39400,44500,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Barranquilla - Santa Marta,12600,16500,3
